order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00024,24,143,CUST_0143,,,PROD_169,54,2,2,156.55,227.46,918.77,198.82,14.43,30.45,0.00,,pending,cash,9498 Pine Rd,,TRK833715
ORD_00025,25,385,CUST_0385,,2023-05-14T15:50:00.000Z,PROD_126,41,3,2,283.38,314.45,1001.29,486.23,0.00,43.15,0.00,returned,SHIPPED,bank_transfer,3513 Oak Ave,,
ORD_00026,26,394,CUST_0394,6/11/2023,2023-01-21T04:16:00.000Z,PROD_152,1,9,4,125.41,65.79,181.34,160.60,23.94,11.16,0.00,SHIPPED,pending,debit_card,4334 Pine Rd,,TRK771671
ORD_00027,27,109,CUST_0109,2023-10-04,2023-06-06T01:00:00.000Z,PROD_045,130,9,4,281.55,103.50,447.08,145.78,14.89,40.42,0.00,CANCELLED,,debit_card,5759 Oak Ave,,
ORD_00028,28,334,CUST_0334,2023-04-19,2023-06-05T01:39:00.000Z,PROD_154,126,3,2,101.23,78.09,179.87,569.11,8.08,5.03,0.00,processing,pending,cash,7325 Pine Rd,,
ORD_00029,29,414,CUST_0414,2023-08-20,2023-02-14T09:30:00.000Z,PROD_086,81,9,5,34.36,291.01,730.36,430.70,0.00,3.96,0.00,,,debit_card,1104 Oak Ave,,TRK567106
ORD_00030,30,39,CUST_0039,2023-03-06,,PROD_183,56,5,2,116.67,88.25,601.14,282.19,9.62,9.20,0.00,CANCELLED,processing,credit_card,5809 Main St,,TRK610193
ORD_00031,31,171,CUST_0171,5/10/2023,2023-09-05T04:56:00.000Z,PROD_092,66,2,4,492.92,402.51,855.46,607.87,0.00,5.91,0.00,,returned,credit_card,3329 Oak Ave,,
ORD_00032,32,281,CUST_0281,2023-10-24,2023-08-11T03:09:00.000Z,PROD_129,162,10,4,178.05,147.53,877.83,694.68,24.63,3.34,0.00,processing,processing,debit_card,731 Oak Ave,,
ORD_00033,33,94,CUST_0094,6/1/2023,2023-08-06T11:11:00.000Z,PROD_011,171,6,5,298.49,383.43,488.61,703.94,12.11,28.29,10.93,CANCELLED,pending,debit_card,7245 Pine Rd,Special delivery instructions,
ORD_00034,34,166,CUST_0166,4/21/2023,2023-08-16T11:34:00.000Z,PROD_139,30,4,5,230.48,201.24,657.80,485.77,0.00,16.35,0.00,processing,,bank_transfer,9195 Main St,,
ORD_00035,35,350,CUST_0350,2023-01-25,2023-03-02T07:00:00.000Z,PROD_039,196,8,2,225.23,65.87,413.45,315.61,0.00,39.99,0.00,pending,returned,cash,1312 Oak Ave,,TRK444007
ORD_00036,36,216,CUST_0216,2023-04-24,2023-07-26T06:55:00.000Z,PROD_194,66,2,4,295.96,348.90,339.61,151.46,9.85,23.82,0.00,delivered,returned,cash,2466 Oak Ave,Special delivery instructions,
ORD_00037,37,494,CUST_0494,2023-05-06,2023-10-06T17:03:00.000Z,PROD_191,34,7,4,360.80,166.38,127.23,275.94,17.43,28.62,0.00,,delivered,credit_card,1501 Main St,,TRK194274
ORD_00038,38,116,CUST_0116,2023-12-25,2023-12-09T12:48:00.000Z,PROD_102,157,2,1,394.97,129.80,1040.24,688.56,21.61,10.12,28.66,processing,returned,cash,201 Oak Ave,,TRK923197
ORD_00039,39,224,CUST_0224,2023-05-18,2023-09-16T09:18:00.000Z,PROD_010,107,2,3,312.11,103.27,96.24,663.07,0.00,13.52,40.37,delivered,pending,debit_card,7339 Pine Rd,,TRK815824
ORD_00040,40,57,CUST_0057,2023-07-31,2023-06-22T18:49:00.000Z,PROD_195,134,2,4,174.77,145.63,209.81,277.00,19.15,23.93,0.00,processing,processing,debit_card,1910 Main St,Special delivery instructions,TRK178976
ORD_00041,41,113,CUST_0113,3/11/2023,2023-12-25T18:13:00.000Z,PROD_073,31,4,4,69.75,208.60,70.09,281.71,7.58,2.24,0.00,CANCELLED,CANCELLED,credit_card,7636 Main St,,TRK894852
ORD_00042,42,318,CUST_0318,2023-09-21,2023-01-09T16:50:00.000Z,PROD_017,130,3,4,348.28,39.65,386.28,667.87,5.24,18.91,0.00,pending,,credit_card,2153 Main St,,
ORD_00043,43,120,CUST_0120,10/1/2023,2023-11-11T18:58:00.000Z,PROD_035,75,8,5,61.67,396.47,177.82,544.66,0.00,31.52,0.00,returned,returned,cash,2486 Pine Rd,,
ORD_00044,44,123,CUST_0123,2023-09-03,2023-04-06T03:48:00.000Z,PROD_079,87,5,5,164.49,228.64,686.30,670.91,0.00,44.18,0.00,processing,returned,bank_transfer,7776 Oak Ave,,TRK458929
ORD_00045,45,71,CUST_0071,2023-07-19,2023-10-01T19:23:00.000Z,PROD_141,68,4,2,79.70,250.85,408.76,658.97,20.75,22.98,0.00,,SHIPPED,credit_card,7341 Main St,,TRK566646
ORD_00046,46,182,CUST_0182,2023-11-02,2023-04-20T09:32:00.000Z,PROD_062,174,9,4,231.43,328.81,201.45,808.42,8.62,24.46,29.66,SHIPPED,SHIPPED,cash,9199 Main St,,TRK258276
ORD_00047,47,149,CUST_0149,2/17/2023,2023-01-26T20:27:00.000Z,PROD_034,103,1,2,124.08,347.36,802.68,765.29,23.70,30.49,16.41,,pending,credit_card,1366 Oak Ave,,TRK423759
ORD_00048,48,2,CUST_0002,7/18/2023,2023-11-09T19:42:00.000Z,PROD_166,145,2,2,86.43,129.17,571.45,349.72,7.24,26.32,0.00,CANCELLED,delivered,paypal,9664 Pine Rd,,TRK251698
ORD_00049,49,401,CUST_0401,,2023-12-19T05:53:00.000Z,PROD_133,135,3,3,83.81,336.55,806.32,792.67,9.29,26.42,30.36,SHIPPED,pending,credit_card,2124 Oak Ave,,
ORD_00050,50,95,CUST_0095,2023-01-07,2023-03-14T13:14:00.000Z,PROD_121,134,4,2,113.42,271.63,933.80,66.93,22.81,30.61,0.00,CANCELLED,processing,debit_card,9239 Main St,,
ORD_00051,51,62,CUST_0062,2023-06-10,,PROD_023,128,7,4,334.48,359.57,232.32,119.64,10.19,19.74,27.02,returned,processing,debit_card,8957 Main St,,TRK504998
ORD_00052,52,161,CUST_0161,2/9/2023,2023-12-05T10:07:00.000Z,PROD_101,130,8,4,272.71,289.97,89.96,142.35,0.00,44.13,0.00,CANCELLED,CANCELLED,debit_card,6792 Main St,,TRK895596
ORD_00053,53,316,CUST_0316,2/19/2023,2023-09-08T15:25:00.000Z,PROD_105,190,7,1,280.04,26.32,780.04,658.83,13.45,38.55,0.00,,processing,bank_transfer,6089 Main St,,TRK737828
ORD_00054,54,97,CUST_0097,2023-02-16,2023-01-08T04:22:00.000Z,PROD_103,54,5,3,492.26,133.99,926.65,381.36,11.02,40.09,0.00,CANCELLED,processing,credit_card,9802 Main St,,TRK270397
ORD_00055,55,252,CUST_0252,10/1/2023,2023-07-27T07:08:00.000Z,PROD_017,96,4,4,139.33,32.98,586.35,235.66,0.00,44.25,0.00,CANCELLED,returned,bank_transfer,9103 Oak Ave,Special delivery instructions,
ORD_00056,56,153,CUST_0153,12/6/2023,,PROD_147,129,7,2,297.39,107.19,937.94,492.06,21.38,5.77,0.00,CANCELLED,CANCELLED,debit_card,8633 Main St,,
ORD_00057,57,247,CUST_0247,2023-10-09,2023-12-14T13:02:00.000Z,PROD_156,41,9,4,184.96,288.95,981.70,282.83,14.46,2.44,0.00,,SHIPPED,paypal,2665 Pine Rd,,TRK855400
ORD_00058,58,169,CUST_0169,2023-04-08,2023-10-14T02:15:00.000Z,PROD_062,97,4,4,233.15,321.89,209.88,584.17,20.87,9.32,0.00,returned,delivered,bank_transfer,9404 Main St,,TRK763899
ORD_00059,59,250,CUST_0250,4/22/2023,2023-02-18T04:21:00.000Z,PROD_164,61,9,2,126.75,178.09,551.34,783.74,0.00,37.99,0.00,delivered,pending,bank_transfer,2545 Pine Rd,,TRK354813
ORD_00060,60,446,CUST_0446,2/3/2023,2023-10-06T09:15:00.000Z,PROD_083,179,6,3,201.73,226.46,436.38,378.09,19.64,20.46,0.00,pending,returned,cash,3283 Main St,,
ORD_00061,61,217,CUST_0217,8/18/2023,2023-10-10T17:19:00.000Z,PROD_188,194,5,4,318.73,217.75,384.56,634.17,0.00,12.24,0.00,SHIPPED,pending,credit_card,6860 Pine Rd,,
ORD_00062,62,129,CUST_0129,2023-05-10,2023-04-26T11:44:00.000Z,PROD_037,198,2,4,27.99,124.13,64.88,673.98,5.28,24.92,0.00,,pending,credit_card,7087 Oak Ave,Special delivery instructions,TRK538722
ORD_00063,63,341,CUST_0341,10/4/2023,,PROD_133,160,1,4,238.21,118.94,103.18,683.66,0.00,34.95,16.46,processing,CANCELLED,paypal,4219 Pine Rd,,TRK849931
ORD_00064,64,281,CUST_0281,8/23/2023,2023-02-19T17:46:00.000Z,PROD_010,129,8,4,52.08,240.28,365.69,701.73,21.96,21.09,15.94,returned,processing,bank_transfer,4695 Main St,,
ORD_00065,65,187,CUST_0187,12/4/2023,2023-06-15T20:27:00.000Z,PROD_086,65,8,5,76.98,292.80,280.02,783.55,0.00,25.29,0.00,,delivered,cash,4641 Pine Rd,,
ORD_00066,66,142,CUST_0142,2023-09-18,2023-06-19T19:56:00.000Z,PROD_108,22,1,4,43.77,402.84,1014.57,727.75,20.74,3.40,0.00,returned,processing,cash,3939 Oak Ave,,TRK799500
ORD_00067,67,174,CUST_0174,12/8/2023,,PROD_015,14,7,5,210.30,404.24,731.08,497.64,0.00,26.37,0.00,processing,returned,credit_card,2541 Oak Ave,,
ORD_00068,68,247,CUST_0247,2023-06-27,2023-09-20T23:04:00.000Z,PROD_004,171,2,5,182.34,275.57,744.72,611.97,10.08,51.91,0.00,SHIPPED,SHIPPED,bank_transfer,8209 Main St,,TRK205687
ORD_00069,69,49,CUST_0049,2023-02-27,,PROD_191,10,7,2,71.07,62.62,957.16,254.38,0.00,46.55,0.00,,pending,debit_card,9291 Oak Ave,,TRK553526
ORD_00070,70,360,CUST_0360,2023-06-25,2023-08-04T05:11:00.000Z,PROD_026,23,3,5,328.05,152.91,717.18,279.39,7.99,22.69,0.00,CANCELLED,CANCELLED,debit_card,5741 Oak Ave,,
ORD_00071,71,18,CUST_0018,2023-03-16,2023-06-01T05:30:00.000Z,PROD_190,4,2,5,506.16,358.21,785.37,786.64,0.00,5.56,0.00,,CANCELLED,debit_card,2851 Oak Ave,,
ORD_00072,72,377,CUST_0377,,2023-05-01T05:27:00.000Z,PROD_179,52,10,1,297.97,113.29,769.78,518.32,15.34,9.30,0.00,CANCELLED,SHIPPED,debit_card,831 Main St,Special delivery instructions,TRK929872
ORD_00073,73,214,CUST_0214,4/18/2023,,PROD_131,166,4,4,200.40,35.06,300.81,283.01,0.00,18.23,37.37,CANCELLED,delivered,bank_transfer,1310 Pine Rd,Special delivery instructions,TRK868609
ORD_00074,74,64,CUST_0064,2023-06-18,2023-07-13T12:37:00.000Z,PROD_029,14,4,2,252.92,18.11,479.69,163.68,13.83,46.25,0.00,pending,pending,credit_card,4220 Oak Ave,,TRK728875
ORD_00075,75,246,CUST_0246,8/4/2023,2023-06-19T00:21:00.000Z,PROD_065,180,2,1,239.21,121.64,194.91,839.56,11.53,42.53,18.82,pending,SHIPPED,bank_transfer,4153 Main St,,TRK275680
ORD_00076,76,143,CUST_0143,3/18/2023,2023-07-24T11:46:00.000Z,PROD_076,102,10,4,174.92,381.43,725.09,732.04,0.00,35.08,0.00,SHIPPED,processing,credit_card,4378 Oak Ave,Special delivery instructions,TRK298069
ORD_00077,77,163,CUST_0163,6/14/2023,2023-04-15T17:32:00.000Z,PROD_160,89,2,4,380.14,89.44,497.20,637.47,8.80,13.74,0.00,,processing,debit_card,4895 Oak Ave,Special delivery instructions,
ORD_00078,78,246,CUST_0246,4/11/2023,,PROD_008,188,9,3,417.11,53.11,665.90,102.14,13.36,29.90,0.00,delivered,returned,paypal,5750 Pine Rd,,TRK985374
ORD_00079,79,225,CUST_0225,2023-03-04,2023-01-13T23:45:00.000Z,PROD_147,152,1,3,428.99,162.51,916.36,524.00,20.42,38.41,0.00,delivered,delivered,bank_transfer,681 Oak Ave,Special delivery instructions,
ORD_00080,80,454,CUST_0454,3/6/2023,,PROD_093,121,5,2,429.04,104.35,453.18,701.74,18.90,40.14,0.00,delivered,SHIPPED,debit_card,2433 Main St,,TRK722308
ORD_00081,81,168,CUST_0168,10/17/2023,2023-09-27T03:44:00.000Z,PROD_029,135,9,5,360.87,230.11,998.22,538.76,0.00,4.81,0.00,,pending,paypal,5760 Pine Rd,,TRK389945
ORD_00082,82,202,CUST_0202,4/27/2023,2023-11-22T02:48:00.000Z,PROD_141,191,7,1,185.21,396.16,429.94,287.26,0.00,8.93,0.00,delivered,CANCELLED,cash,5437 Pine Rd,,
ORD_00083,83,448,CUST_0448,8/5/2023,2023-03-01T07:36:00.000Z,PROD_081,83,7,5,440.06,335.49,832.64,464.55,0.00,41.79,38.73,processing,pending,debit_card,4471 Pine Rd,,
ORD_00084,84,251,CUST_0251,2023-09-21,2023-07-12T05:47:00.000Z,PROD_018,1,2,3,493.32,164.82,929.86,208.95,13.01,40.51,1.37,pending,CANCELLED,cash,6087 Oak Ave,Special delivery instructions,
ORD_00085,85,475,CUST_0475,2023-01-22,,PROD_036,96,6,3,37.39,308.47,633.48,93.30,23.38,31.11,0.00,delivered,CANCELLED,paypal,2981 Main St,Special delivery instructions,
ORD_00086,86,8,CUST_0008,2023-10-25,,PROD_199,68,9,2,261.94,115.31,664.73,615.27,0.00,13.60,26.99,SHIPPED,delivered,bank_transfer,1202 Oak Ave,,TRK794883
ORD_00087,87,206,CUST_0206,2023-06-08,2023-11-22T13:48:00.000Z,PROD_113,41,6,1,308.91,280.85,79.26,348.33,6.72,21.37,0.00,processing,SHIPPED,credit_card,4556 Oak Ave,,TRK758438
ORD_00088,88,67,CUST_0067,12/16/2023,,PROD_052,119,2,1,324.42,25.32,801.07,161.82,15.27,47.45,33.87,CANCELLED,CANCELLED,bank_transfer,8925 Oak Ave,,TRK451291
ORD_00089,89,488,CUST_0488,7/26/2023,,PROD_079,42,1,1,257.43,296.61,1022.23,231.77,15.78,37.65,10.07,,processing,bank_transfer,9186 Main St,,
ORD_00090,90,464,CUST_0464,2023-07-18,2023-09-13T04:36:00.000Z,PROD_126,185,6,4,402.73,338.67,258.46,632.40,0.00,31.42,0.00,pending,delivered,cash,3147 Pine Rd,,TRK489996
ORD_00091,91,109,CUST_0109,12/13/2023,2023-08-02T17:45:00.000Z,PROD_166,74,3,5,467.14,130.25,135.51,829.41,9.84,41.54,0.00,processing,,debit_card,7512 Oak Ave,,TRK669810
ORD_00092,92,48,CUST_0048,2/4/2023,2023-10-24T16:21:00.000Z,PROD_037,29,7,5,463.55,376.85,567.73,570.31,0.00,21.33,0.00,returned,pending,bank_transfer,3385 Main St,,
ORD_00093,93,497,CUST_0497,2023-12-16,2023-01-12T13:28:00.000Z,PROD_193,141,10,3,138.08,287.94,811.73,552.28,0.00,31.74,36.74,CANCELLED,SHIPPED,bank_transfer,3669 Pine Rd,,TRK233213
ORD_00094,94,212,CUST_0212,2023-06-12,2023-09-07T13:31:00.000Z,PROD_171,17,2,5,476.39,103.25,708.95,670.21,13.91,3.31,0.00,processing,,bank_transfer,9724 Oak Ave,,TRK602257
ORD_00095,95,239,CUST_0239,8/28/2023,2023-07-15T22:29:00.000Z,PROD_189,40,1,5,124.22,257.89,738.79,766.30,17.79,4.97,0.00,processing,SHIPPED,paypal,9462 Oak Ave,,
ORD_00096,96,259,CUST_0259,,2023-05-19T16:09:00.000Z,PROD_131,97,2,5,42.98,181.28,143.25,395.00,16.85,3.25,0.00,CANCELLED,SHIPPED,cash,7908 Oak Ave,,TRK675605
ORD_00097,97,301,CUST_0301,11/16/2023,,PROD_068,198,3,5,451.42,355.53,610.11,93.60,8.16,43.31,0.00,returned,delivered,cash,1514 Oak Ave,,
ORD_00098,98,332,CUST_0332,12/9/2023,2023-09-14T22:30:00.000Z,PROD_140,41,2,2,487.76,117.86,865.69,374.16,0.00,5.09,39.67,pending,processing,paypal,4977 Oak Ave,,TRK704475
ORD_00099,99,472,CUST_0472,2023-06-05,2023-11-14T07:59:00.000Z,PROD_197,106,4,1,43.59,221.97,469.14,133.65,9.54,7.25,0.00,delivered,returned,credit_card,4496 Pine Rd,,
ORD_00100,100,196,CUST_0196,2023-12-01,2023-07-25T06:53:00.000Z,PROD_136,124,4,5,407.44,236.95,314.48,142.96,19.97,42.24,36.28,processing,returned,debit_card,1687 Oak Ave,,TRK283635
ORD_00101,101,344,CUST_0344,1/3/2023,,PROD_030,131,6,2,242.30,86.56,873.95,757.64,14.70,47.93,11.50,returned,,debit_card,1744 Pine Rd,,
ORD_00102,102,176,CUST_0176,4/9/2023,,PROD_087,96,3,5,111.58,28.80,215.44,735.50,0.00,34.63,0.00,,returned,credit_card,7682 Pine Rd,,TRK336809
ORD_00103,103,95,CUST_0095,2/9/2023,2023-04-17T18:09:00.000Z,PROD_141,42,1,2,63.11,342.95,151.62,146.46,14.84,30.62,0.00,delivered,CANCELLED,bank_transfer,7707 Main St,,
ORD_00104,104,313,CUST_0313,2023-08-03,,PROD_155,121,1,4,379.09,81.50,814.94,347.25,15.33,48.64,0.00,processing,,cash,834 Oak Ave,,TRK393330
ORD_00105,105,116,CUST_0116,,2023-04-06T17:59:00.000Z,PROD_181,68,10,3,491.52,128.21,841.19,337.45,19.83,45.82,0.00,delivered,delivered,debit_card,573 Main St,,
ORD_00106,106,257,CUST_0257,,,PROD_038,21,10,2,502.45,39.07,635.89,455.86,8.00,17.01,18.49,,returned,credit_card,2340 Main St,,TRK794113
ORD_00107,107,499,CUST_0499,2023-05-09,2023-03-05T09:48:00.000Z,PROD_153,151,3,3,63.49,399.87,434.66,47.88,0.00,39.43,0.00,returned,SHIPPED,debit_card,9867 Main St,,TRK852260
ORD_00108,108,313,CUST_0313,2/17/2023,2023-08-13T03:06:00.000Z,PROD_163,31,1,4,78.26,27.54,933.94,197.44,10.33,11.83,6.83,returned,delivered,paypal,62 Main St,Special delivery instructions,TRK836753
ORD_00109,109,431,CUST_0431,12/6/2023,2023-02-22T04:07:00.000Z,PROD_089,59,9,5,15.31,78.90,836.98,587.62,7.83,32.39,0.00,pending,SHIPPED,cash,6176 Main St,,
ORD_00110,110,102,CUST_0102,2023-01-23,2023-01-08T11:58:00.000Z,PROD_002,114,5,5,419.03,219.92,215.34,214.92,0.00,42.84,0.00,returned,CANCELLED,bank_transfer,8591 Pine Rd,Special delivery instructions,TRK461057
ORD_00111,111,339,CUST_0339,3/5/2023,2023-08-21T00:52:00.000Z,PROD_080,91,1,3,41.39,35.63,1034.23,589.26,24.81,41.19,0.00,,CANCELLED,credit_card,83 Main St,,TRK819949
ORD_00112,112,323,CUST_0323,6/3/2023,,PROD_173,31,2,2,92.57,309.45,64.04,218.99,13.77,13.21,26.64,,processing,debit_card,8429 Oak Ave,,
ORD_00113,113,431,CUST_0431,12/4/2023,2023-10-13T02:26:00.000Z,PROD_113,148,6,1,199.59,234.67,933.45,266.60,24.50,3.96,18.32,processing,,paypal,2167 Main St,,TRK705493
ORD_00114,114,92,CUST_0092,2023-11-03,2023-05-01T12:00:00.000Z,PROD_032,4,4,2,184.99,286.87,1023.26,135.85,0.00,50.31,33.98,CANCELLED,,paypal,5077 Oak Ave,,TRK309787
ORD_00115,115,384,CUST_0384,,2023-01-25T22:45:00.000Z,PROD_108,14,5,5,430.15,110.40,101.10,126.43,19.66,34.44,47.16,delivered,,credit_card,7273 Main St,Special delivery instructions,TRK729603
ORD_00116,116,425,CUST_0425,5/11/2023,2023-03-04T23:19:00.000Z,PROD_127,32,3,5,301.24,329.65,139.75,618.20,23.32,45.51,0.00,delivered,CANCELLED,paypal,3855 Oak Ave,,TRK469863
ORD_00117,117,141,CUST_0141,,2023-08-06T03:03:00.000Z,PROD_136,152,6,5,478.05,317.53,814.55,54.53,0.00,43.33,0.00,,CANCELLED,credit_card,1822 Main St,,TRK931226
ORD_00118,118,10,CUST_0010,,2023-04-23T12:11:00.000Z,PROD_189,195,8,2,214.73,66.70,595.46,501.80,0.00,38.53,0.00,CANCELLED,returned,credit_card,4394 Main St,,TRK119369
ORD_00119,119,202,CUST_0202,11/27/2023,2023-01-06T12:20:00.000Z,PROD_160,76,10,4,475.60,205.35,974.38,192.44,0.00,38.20,0.00,processing,SHIPPED,cash,3008 Main St,,
ORD_00120,120,406,CUST_0406,2023-06-19,2023-04-07T09:23:00.000Z,PROD_145,177,3,4,25.33,111.77,522.63,256.45,19.80,4.72,0.00,SHIPPED,SHIPPED,bank_transfer,9415 Main St,,TRK153784
ORD_00121,121,202,CUST_0202,10/11/2023,,PROD_189,192,7,5,76.66,306.14,1040.39,261.25,0.00,17.04,27.60,processing,SHIPPED,bank_transfer,7504 Pine Rd,,TRK360171
ORD_00122,122,108,CUST_0108,2023-06-12,2023-02-17T14:25:00.000Z,PROD_100,7,5,3,373.67,99.61,402.05,359.33,12.85,12.04,0.00,returned,CANCELLED,bank_transfer,7860 Oak Ave,,TRK890441
ORD_00123,123,152,CUST_0152,2023-12-02,2023-06-17T14:48:00.000Z,PROD_190,18,5,4,210.46,314.36,467.67,146.45,8.75,29.75,0.00,,,debit_card,5773 Oak Ave,,
ORD_00124,124,473,CUST_0473,11/11/2023,2023-10-15T02:22:00.000Z,PROD_071,139,5,5,445.64,242.78,254.51,752.27,0.00,25.19,0.00,processing,,cash,9014 Oak Ave,,TRK373686
ORD_00125,125,271,CUST_0271,5/5/2023,2023-06-17T11:23:00.000Z,PROD_052,46,2,2,477.14,340.35,253.61,504.48,11.51,48.25,0.00,returned,returned,debit_card,5026 Main St,,
ORD_00126,126,388,CUST_0388,2023-02-22,2023-09-12T17:36:00.000Z,PROD_146,41,7,3,498.44,368.84,641.16,324.41,0.00,41.57,41.13,pending,SHIPPED,debit_card,7607 Pine Rd,,TRK154638
ORD_00127,127,435,CUST_0435,2/21/2023,2023-10-25T21:50:00.000Z,PROD_089,176,6,1,498.43,367.23,617.54,138.48,0.00,11.02,0.00,processing,processing,credit_card,3284 Pine Rd,,TRK449483
ORD_00128,128,105,CUST_0105,5/6/2023,2023-12-07T13:00:00.000Z,PROD_105,165,9,5,467.93,403.24,416.38,725.38,13.85,44.29,45.65,CANCELLED,,bank_transfer,3521 Oak Ave,,TRK791404
ORD_00129,129,74,CUST_0074,2023-10-01,2023-12-16T21:29:00.000Z,PROD_006,82,8,1,386.19,67.02,910.77,721.99,0.00,50.96,0.00,processing,CANCELLED,bank_transfer,3767 Oak Ave,,TRK898718
ORD_00130,130,3,CUST_0003,2023-12-14,,PROD_146,188,3,2,192.07,32.45,119.50,143.11,24.22,14.51,0.00,returned,processing,credit_card,5316 Oak Ave,Special delivery instructions,TRK105614
