customer_id,full_name,email,phone,address,city,state,zip_code,total_orders,total_spent,loyalty_points,preferred_payment,age,birth_date,gender,segment,registered_on,final_status
19,Bob Wilson,customer19@example.com,555-3275,6783 Main St,philadelphia,IL,nan,11,771.31,189,debit_card,,1965-06-08,other,vip,NaT,pending
20,diana.prince,customer20@example.com,,4499 Second Ave,philadelphia,TX,95246.0,5,876.99,107,cash,61.0,1992-08-05,,vip,2023-02-23,pending
22,frank-miller,customer22@example.com,(555) 874-2189,5860 Second Ave,Chicago,NY,51291.0,9,1202.61,900,cash,,1970-09-23,,vip,2023-08-16,inactive
23,diana.prince,customer23@example.com,,3404 First St,NYC,AZ,74375.0,24,2041.2,348,debit_card,30.0,,,premium,2020-02-09,inactive
24,Grace Lee,customer24@example.com,(555) 525-8801,8474 Oak Ave,NYC,IL,nan,28,2288.57,626,cash,21.0,,m,general,2022-02-04,suspended
25,Bob Wilson,customer25@example.com,555-8846,9853 Oak Ave,Chicago,New York,70345.0,1,1235.14,958,cash,36.0,1996-05-19,,new,2022-11-20,unknown
26,Bob Wilson,customer26@example.com,555-9465,3578 Main St,philadelphia,California,70569.0,11,2576.75,242,credit_card,71.0,,f,vip,2021-06-18,inactive
27,jane_doe,customer27@example.com,,5337 Pine Rd,philadelphia,TX,12259.0,16,4196.12,404,cash,69.0,,f,new,2023-06-23,unknown
28,Bob Wilson,customer28@example.com,555-1183,857 Oak Ave,NYC,NY,68619.0,19,3291.03,613,debit_card,60.0,1988-02-24,,regular,NaT,suspended
29,John Smith,customer29@example.com,,851 Pine Rd,chicago,IL,34400.0,44,4999.84,211,paypal,,1998-11-07,,vip,2023-04-02,inactive
30,John Smith,user30@domain.com,555-4823,3409 Oak Ave,la,PA,19274.0,45,3462.29,485,debit_card,,,f,regular,2020-04-01,unknown
31,John Smith,user31@domain.com,,3822 Second Ave,la,IL,42485.0,1,1035.69,830,cash,,1985-06-08,female,general,NaT,inactive
32,Charlie Brown,customer32@example.com,555-3426,6328 Pine Rd,Los Angeles,PA,83375.0,7,686.35,162,paypal,34.0,,male,general,2022-06-18,pending
33,EVE WHITE,customer33@example.com,555-8944,6533 Main St,chicago,California,43376.0,4,3324.69,342,debit_card,43.0,1995-05-18,male,regular,2023-02-25,pending
34,frank-miller,customer34@example.com,(555) 869-9424,7722 Second Ave,chicago,TX,nan,10,2302.08,891,credit_card,21.0,1996-03-28,f,premium,2022-01-04,unknown
35,EVE WHITE,customer35@example.com,,9453 Main St,Los Angeles,California,69033.0,18,3043.59,376,credit_card,,1980-11-17,f,vip,2021-02-24,suspended
36,alice.johnson@email.com,customer36@example.com,(555) 554-3057,4641 First St,Los Angeles,California,nan,0,2031.27,636,cash,38.0,1969-03-04,male,vip,2021-09-11,inactive
37,henry.davis123,customer37@example.com,555-5539,3014 First St,NYC,NY,nan,46,4271.85,598,cash,,,,vip,2023-09-14,active
38,Bob Wilson,customer38@example.com,555-8089,611 First St,Los Angeles,NY,86405.0,11,361.4,656,paypal,,,,general,2020-01-19,pending
39,henry.davis123,customer39@example.com,,6526 First St,Chicago,AZ,39464.0,1,3627.93,212,debit_card,51.0,,male,general,2020-07-22,inactive
41,Grace Lee,customer41@example.com,555-5737,4455 Main St,NYC,TX,nan,9,3533.2,124,debit_card,37.0,,other,regular,2022-11-07,pending
42,alice.johnson@email.com,customer42@example.com,555-3574,7557 Pine Rd,philadelphia,California,71342.0,0,436.42,72,paypal,20.0,,other,premium,NaT,pending
43,henry.davis123,customer43@example.com,,2367 Oak Ave,Houston,TX,80916.0,34,2262.53,31,cash,,,other,new,2020-03-24,pending
44,John Smith,customer44@example.com,(555) 273-5479,4071 Main St,philadelphia,CA,86265.0,43,1698.44,500,cash,55.0,,,general,2021-10-22,unknown
45,John Smith,customer45@example.com,,2836 Main St,Phoenix,TX,82966.0,5,2630.25,419,cash,,,male,vip,2021-11-22,inactive
48,diana.prince,customer48@example.com,,6798 Pine Rd,NYC,IL,nan,21,1425.46,652,debit_card,,1994-03-10,male,premium,NaT,suspended
49,EVE WHITE,customer49@example.com,,7867 Oak Ave,Houston,CA,nan,42,2583.9,58,paypal,54.0,,female,vip,NaT,pending
50,Bob Wilson,customer50@example.com,,1332 Oak Ave,la,New York,82363.0,37,1276.89,141,debit_card,,,,vip,2021-12-21,inactive
51,Bob Wilson,customer51@example.com,,7746 Oak Ave,Houston,NY,21335.0,9,106.99,928,debit_card,77.0,,f,new,2020-07-11,active
52,alice.johnson@email.com,customer52@example.com,,1690 Oak Ave,new_york,California,61033.0,25,903.43,68,cash,47.0,,female,vip,2021-03-03,suspended
53,alice.johnson@email.com,customer53@example.com,(555) 445-4450,6376 Oak Ave,New York,AZ,nan,49,2591.86,471,cash,24.0,1984-12-16,male,regular,NaT,active
54,frank-miller,customer54@example.com,555-3154,2733 Pine Rd,New York,PA,65341.0,11,1184.41,247,debit_card,,1963-01-04,other,new,NaT,unknown
55,frank-miller,customer55@example.com,555-2990,3439 First St,philadelphia,New York,63736.0,42,1285.85,487,cash,36.0,,,premium,2022-10-03,pending
56,alice.johnson@email.com,user56@domain.com,,7226 Second Ave,Los Angeles,IL,nan,42,883.62,890,credit_card,,1982-08-08,f,premium,2021-10-11,pending
57,EVE WHITE,customer57@example.com,555-2929,9764 Pine Rd,Los Angeles,PA,83441.0,9,2156.55,789,cash,51.0,,female,regular,NaT,inactive
58,Bob Wilson,user58@domain.com,555-2141,6726 Second Ave,la,PA,nan,12,1174.44,992,cash,,1982-04-05,other,regular,2020-03-06,active
59,frank-miller,customer59@example.com,(555) 556-7861,3668 Pine Rd,la,TX,68554.0,21,3633.62,231,cash,76.0,1985-02-01,f,new,2020-03-25,inactive
60,alice.johnson@email.com,customer60@example.com,555-9393,3537 First St,Los Angeles,PA,51258.0,46,1222.45,837,debit_card,18.0,,male,new,2022-08-17,active
61,John Smith,customer61@example.com,555-5453,1307 Oak Ave,Los Angeles,New York,23561.0,29,1306.62,126,paypal,,,female,regular,2023-07-23,unknown
63,Grace Lee,customer63@example.com,,3829 First St,chicago,AZ,nan,3,734.66,236,paypal,51.0,1980-05-28,f,vip,NaT,active
64,Bob Wilson,user64@domain.com,,9255 Pine Rd,Houston,IL,nan,42,205.93,118,cash,,,,premium,2020-05-16,active
65,EVE WHITE,customer65@example.com,555-1196,5143 Main St,Chicago,AZ,34364.0,9,1062.73,996,cash,20.0,,f,regular,2023-06-21,suspended
66,henry.davis123,customer66@example.com,555-8265,3364 Pine Rd,Chicago,NY,nan,42,2404.52,630,cash,62.0,,female,general,2022-05-07,suspended
67,John Smith,customer67@example.com,(555) 525-6207,2287 Oak Ave,Houston,IL,nan,0,833.25,552,cash,53.0,,female,vip,NaT,active
68,jane_doe,customer68@example.com,(555) 999-4334,3282 First St,philadelphia,California,44583.0,18,4225.3,830,cash,,1998-06-16,,general,NaT,pending
70,henry.davis123,customer70@example.com,555-2350,7371 Second Ave,Chicago,CA,nan,37,4481.09,790,paypal,,,male,premium,2021-01-19,pending
71,Grace Lee,customer71@example.com,555-1955,6111 Main St,new_york,IL,33875.0,6,1299.37,635,cash,,,female,vip,2023-01-18,unknown
72,alice.johnson@email.com,customer72@example.com,555-7789,6517 Pine Rd,New York,California,61001.0,4,2207.37,997,paypal,,,female,regular,2021-06-16,inactive
73,diana.prince,user73@domain.com,555-7170,2772 Main St,Chicago,NY,nan,31,2997.67,40,cash,52.0,1964-10-11,female,general,NaT,suspended
74,henry.davis123,customer74@example.com,,4049 First St,NYC,TX,nan,21,1533.16,337,debit_card,,1968-02-06,,vip,2021-01-31,unknown
76,Charlie Brown,customer76@example.com,(555) 895-3603,2212 Second Ave,la,TX,23781.0,39,218.88,777,paypal,,,f,regular,NaT,active
77,EVE WHITE,customer77@example.com,,4486 Second Ave,chicago,TX,nan,45,436.84,441,paypal,,,m,new,2022-08-07,inactive
78,John Smith,customer78@example.com,(555) 632-1683,4127 Oak Ave,NYC,CA,nan,25,1395.93,58,credit_card,,,m,new,2023-04-01,inactive
79,henry.davis123,customer79@example.com,,9344 Pine Rd,la,IL,nan,31,4868.25,457,cash,34.0,,other,regular,NaT,inactive
80,John Smith,customer80@example.com,(555) 924-6570,237 First St,Los Angeles,IL,69184.0,1,4135.34,324,paypal,25.0,,,premium,2022-10-25,pending
81,diana.prince,user81@domain.com,(555) 282-4401,6028 Second Ave,Chicago,CA,nan,13,4029.23,336,credit_card,63.0,1977-04-02,,new,2022-08-22,
83,EVE WHITE,customer83@example.com,(555) 764-1209,8652 Second Ave,Chicago,California,38615.0,16,3254.83,253,cash,,1997-02-18,,general,2023-11-13,inactive
84,diana.prince,customer84@example.com,(555) 526-6926,2530 First St,Chicago,NY,nan,31,4818.73,992,cash,,,female,regular,2023-06-01,unknown
85,alice.johnson@email.com,customer85@example.com,,3762 Oak Ave,philadelphia,PA,nan,45,4326.63,12,paypal,26.0,,,general,NaT,unknown
87,diana.prince,customer87@example.com,,664 Oak Ave,Los Angeles,AZ,42669.0,31,215.31,506,debit_card,,,other,premium,2022-03-12,inactive
89,jane_doe,customer89@example.com,(555) 721-2400,495 Oak Ave,philadelphia,PA,nan,42,666.4,744,cash,,,f,vip,NaT,unknown
90,EVE WHITE,user90@domain.com,555-3276,733 First St,philadelphia,PA,54359.0,20,4559.71,779,cash,40.0,,m,premium,2023-12-03,active
91,jane_doe,customer91@example.com,(555) 602-6205,9856 Second Ave,la,IL,93141.0,6,4173.99,277,cash,35.0,,male,regular,2021-07-04,pending
92,John Smith,customer92@example.com,,397 First St,la,PA,nan,16,4557.28,303,credit_card,68.0,1971-09-21,,premium,NaT,active
93,henry.davis123,customer93@example.com,,7885 Main St,Los Angeles,AZ,nan,41,4717.97,391,cash,76.0,,f,premium,2021-11-21,unknown
94,frank-miller,customer94@example.com,(555) 517-2696,8854 Second Ave,NYC,AZ,12189.0,9,3486.26,436,credit_card,,1964-01-12,other,general,2022-09-09,inactive
95,EVE WHITE,user95@domain.com,(555) 843-4828,2817 Oak Ave,Phoenix,California,47865.0,34,567.64,16,paypal,,,,general,NaT,unknown
97,henry.davis123,customer97@example.com,,3432 Pine Rd,New York,CA,64974.0,25,844.89,8,credit_card,26.0,,female,premium,2022-02-15,inactive
98,frank-miller,user98@domain.com,(555) 213-2016,3114 First St,Los Angeles,AZ,27284.0,45,4390.34,576,credit_card,56.0,,m,vip,2023-09-05,inactive
99,EVE WHITE,customer99@example.com,,6654 Main St,la,AZ,nan,10,4612.44,830,paypal,74.0,,m,general,2022-09-15,inactive
100,henry.davis123,user100@domain.com,(555) 931-1355,3566 Main St,Los Angeles,IL,18951.0,0,3306.03,408,cash,,1966-05-25,female,vip,2021-10-25,unknown
101,Grace Lee,customer101@example.com,555-5846,3209 Second Ave,Phoenix,NY,21729.0,31,2801.46,76,cash,,,,general,2022-12-21,active
102,diana.prince,customer102@example.com,,403 Second Ave,Los Angeles,AZ,25286.0,42,4743.45,123,paypal,57.0,,,regular,2020-09-13,active
103,Grace Lee,customer103@example.com,,2348 Main St,Phoenix,IL,60503.0,6,3103.05,804,credit_card,,,,general,2023-06-01,pending
104,EVE WHITE,customer104@example.com,555-8197,8961 First St,Chicago,AZ,64544.0,3,1590.37,417,paypal,74.0,1967-02-16,m,new,2023-08-26,suspended
105,diana.prince,customer105@example.com,,9429 First St,philadelphia,IL,25150.0,27,502.34,261,credit_card,27.0,,male,new,2023-09-13,inactive
106,frank-miller,customer106@example.com,(555) 308-3949,5127 Oak Ave,chicago,NY,nan,20,2899.78,312,cash,37.0,,female,general,2020-07-17,inactive
107,EVE WHITE,user107@domain.com,,8467 Second Ave,Chicago,TX,65957.0,13,65.29,954,paypal,27.0,,,general,NaT,inactive
109,diana.prince,customer109@example.com,555-8895,8162 Main St,new_york,New York,61551.0,1,4001.25,305,debit_card,34.0,,female,premium,2020-06-06,unknown
110,Bob Wilson,customer110@example.com,,6900 Oak Ave,new_york,IL,nan,3,4664.2,962,debit_card,,,male,premium,2021-10-19,active
111,Bob Wilson,customer111@example.com,555-1842,790 Main St,la,IL,61904.0,20,3549.25,57,cash,37.0,1991-11-13,other,vip,2021-08-13,inactive
112,Grace Lee,customer112@example.com,555-2504,9895 Main St,philadelphia,California,13244.0,46,3935.35,905,credit_card,,,m,general,2020-11-27,inactive
113,alice.johnson@email.com,customer113@example.com,(555) 591-4851,2870 Oak Ave,la,TX,nan,17,4758.55,598,cash,39.0,,female,new,2023-01-24,unknown
114,Bob Wilson,customer114@example.com,(555) 262-6526,4098 Main St,Phoenix,PA,73146.0,14,3319.85,502,cash,,,m,new,2023-03-14,active
115,henry.davis123,customer115@example.com,(555) 848-6191,6839 Pine Rd,Chicago,CA,26760.0,36,3625.16,476,cash,,1995-04-20,f,vip,2022-03-27,inactive
116,frank-miller,user116@domain.com,(555) 502-9292,5342 Oak Ave,new_york,TX,nan,23,3602.42,531,paypal,37.0,,other,new,2021-05-26,inactive
118,jane_doe,customer118@example.com,(555) 451-6423,6204 Oak Ave,New York,AZ,nan,39,2271.88,658,paypal,65.0,1964-01-06,m,vip,NaT,inactive
119,jane_doe,customer119@example.com,555-7215,4628 Main St,Houston,AZ,nan,28,1653.95,965,credit_card,,,,vip,NaT,unknown
120,alice.johnson@email.com,customer120@example.com,555-7019,608 Second Ave,chicago,NY,66288.0,29,1436.94,486,cash,,1975-12-28,,vip,2021-03-04,active
121,alice.johnson@email.com,customer121@example.com,555-4851,4130 Second Ave,Los Angeles,New York,34933.0,15,1807.93,648,cash,76.0,,,regular,2022-10-02,unknown
122,jane_doe,customer122@example.com,555-1713,3351 Oak Ave,philadelphia,PA,90248.0,1,3649.01,691,paypal,,1963-03-09,f,new,2022-05-14,inactive
123,Bob Wilson,customer123@example.com,555-3406,5471 Second Ave,la,IL,45746.0,9,3146.79,928,cash,,1989-08-24,f,vip,2023-11-10,inactive
124,John Smith,customer124@example.com,555-8862,6332 Oak Ave,philadelphia,California,94609.0,33,1413.28,905,paypal,,,f,regular,2021-07-12,active
125,Bob Wilson,customer125@example.com,,3245 First St,chicago,PA,79385.0,24,1520.65,202,debit_card,,1984-06-28,other,vip,NaT,inactive
126,diana.prince,customer126@example.com,,8062 Main St,Los Angeles,CA,25924.0,39,4903.72,39,cash,60.0,,m,vip,NaT,unknown
127,John Smith,user127@domain.com,(555) 420-5220,4898 Pine Rd,chicago,New York,55871.0,45,2465.29,189,cash,74.0,,f,regular,2022-08-24,suspended
129,Bob Wilson,customer129@example.com,(555) 430-7335,8627 Main St,new_york,NY,nan,26,1185.43,460,debit_card,67.0,,other,new,2021-05-04,active
130,jane_doe,customer130@example.com,,51 First St,Chicago,California,60048.0,44,2042.73,942,cash,,,,vip,2020-09-24,inactive
131,frank-miller,customer131@example.com,555-9442,1891 Second Ave,New York,AZ,26005.0,44,777.95,782,paypal,72.0,,male,general,NaT,unknown
132,alice.johnson@email.com,customer132@example.com,(555) 304-1599,8981 First St,Chicago,CA,84777.0,48,752.31,740,debit_card,68.0,,m,premium,2023-03-21,active
133,John Smith,user133@domain.com,555-9461,7436 Second Ave,Houston,IL,78076.0,11,447.23,529,credit_card,63.0,1968-10-18,,premium,2023-07-26,inactive
134,henry.davis123,customer134@example.com,(555) 758-2119,9242 Oak Ave,Chicago,PA,nan,36,1843.24,691,cash,56.0,,m,general,2023-05-10,unknown
135,John Smith,user135@domain.com,555-5383,6616 Pine Rd,NYC,AZ,90103.0,22,173.74,877,cash,46.0,,male,new,2021-01-04,active
136,diana.prince,user136@domain.com,555-7090,9968 Oak Ave,philadelphia,TX,30023.0,44,3416.46,338,cash,29.0,1995-02-21,male,regular,2020-02-15,unknown
137,jane_doe,customer137@example.com,555-1248,4387 Oak Ave,Chicago,AZ,62493.0,7,3295.57,846,cash,,,male,premium,2020-11-23,inactive
138,John Smith,customer138@example.com,555-9218,4226 Main St,Phoenix,California,15141.0,13,260.2,449,paypal,,,,vip,NaT,inactive
139,diana.prince,customer139@example.com,(555) 144-8829,3030 First St,Houston,California,20011.0,34,477.63,418,credit_card,52.0,,female,regular,2022-12-12,active
140,Charlie Brown,customer140@example.com,555-8130,901 Oak Ave,New York,CA,51266.0,46,3536.16,4,cash,68.0,1982-11-11,m,regular,2020-06-18,pending
141,Charlie Brown,customer141@example.com,(555) 624-9545,4616 Pine Rd,la,California,nan,33,688.38,619,paypal,28.0,,other,regular,2023-11-11,suspended
142,Grace Lee,user142@domain.com,,7781 Pine Rd,Chicago,New York,90668.0,1,4443.69,824,credit_card,,,m,vip,NaT,inactive
143,jane_doe,customer143@example.com,(555) 621-1244,6540 Second Ave,Houston,NY,19713.0,35,987.2,525,cash,49.0,,female,general,2021-05-11,active
144,jane_doe,customer144@example.com,,2076 Pine Rd,la,PA,nan,12,80.7,683,debit_card,,,m,premium,2023-08-14,unknown
145,Charlie Brown,user145@domain.com,,6186 Second Ave,New York,NY,89229.0,20,3845.76,136,debit_card,47.0,1994-09-05,,vip,NaT,inactive
146,Grace Lee,customer146@example.com,,1952 Oak Ave,philadelphia,New York,81840.0,11,4701.58,596,cash,21.0,,,general,NaT,active
147,alice.johnson@email.com,user147@domain.com,,1294 Main St,new_york,PA,29479.0,10,4512.94,587,debit_card,60.0,1995-01-17,m,general,2023-04-22,unknown
148,jane_doe,customer148@example.com,555-6332,3191 First St,new_york,California,13909.0,16,1814.05,285,debit_card,25.0,,m,new,NaT,inactive
149,jane_doe,customer149@example.com,555-8295,2348 Second Ave,la,PA,54362.0,4,1379.29,497,cash,29.0,,f,premium,NaT,suspended
150,Bob Wilson,customer150@example.com,,8717 First St,Phoenix,PA,59816.0,42,4424.32,471,debit_card,45.0,1965-08-07,other,new,2021-05-13,active
151,John Smith,customer151@example.com,(555) 954-8574,8859 Oak Ave,Chicago,AZ,49711.0,34,3138.03,75,credit_card,,1989-03-27,,premium,2023-08-16,active
152,alice.johnson@email.com,customer152@example.com,,8065 Second Ave,NYC,California,97107.0,30,4418.97,330,cash,58.0,1966-06-09,m,new,2023-06-03,suspended
153,Bob Wilson,customer153@example.com,(555) 782-3243,999 Main St,Houston,CA,nan,42,4213.64,360,paypal,,,,regular,NaT,inactive
154,John Smith,user154@domain.com,,8219 Oak Ave,chicago,TX,99818.0,44,540.11,541,cash,,1975-08-22,m,new,NaT,inactive
155,alice.johnson@email.com,customer155@example.com,,3154 Pine Rd,Houston,IL,nan,1,4380.41,194,paypal,70.0,,other,new,2021-11-06,unknown
156,henry.davis123,customer156@example.com,,2181 Main St,new_york,IL,52639.0,15,4541.19,965,cash,22.0,,male,premium,NaT,inactive
157,Bob Wilson,customer157@example.com,555-4671,5119 Second Ave,chicago,TX,nan,43,4348.28,857,paypal,31.0,,,new,2021-11-30,active
158,frank-miller,user158@domain.com,(555) 175-1507,5738 Oak Ave,Chicago,TX,80794.0,17,1263.17,343,cash,20.0,,other,new,2023-04-15,pending
159,alice.johnson@email.com,customer159@example.com,,6431 Pine Rd,Phoenix,CA,74451.0,29,4936.88,949,cash,,1968-12-03,male,premium,2021-07-27,inactive
160,Grace Lee,customer160@example.com,,3049 First St,NYC,TX,99206.0,43,4915.58,987,cash,,,f,vip,2021-06-19,active
161,EVE WHITE,customer161@example.com,(555) 817-7004,6254 Main St,Houston,New York,66912.0,40,857.2,837,credit_card,69.0,1983-06-04,m,premium,2020-10-18,active
162,EVE WHITE,customer162@example.com,(555) 424-8406,8260 First St,chicago,New York,53659.0,23,273.85,167,cash,,,,regular,2023-03-18,inactive
163,John Smith,customer163@example.com,555-4410,3654 Second Ave,Phoenix,PA,nan,18,1743.03,584,paypal,68.0,,,regular,2020-07-23,active
164,Bob Wilson,customer164@example.com,555-8612,161 Oak Ave,Phoenix,IL,43685.0,17,4467.25,695,credit_card,,,,vip,2022-08-07,suspended
165,henry.davis123,user165@domain.com,,7210 First St,Chicago,AZ,nan,46,1858.71,564,credit_card,18.0,,,regular,2023-05-03,suspended
166,Bob Wilson,customer166@example.com,,588 First St,philadelphia,AZ,11477.0,35,3888.35,79,cash,71.0,,m,regular,2022-04-10,active
167,alice.johnson@email.com,customer167@example.com,555-6863,4001 Oak Ave,chicago,New York,nan,1,1521.55,324,paypal,76.0,1994-06-03,m,general,2020-10-19,active
169,John Smith,user169@domain.com,555-5458,3803 Second Ave,NYC,IL,62034.0,30,1648.5,769,cash,48.0,1974-12-08,other,premium,2022-04-08,pending
170,Charlie Brown,customer170@example.com,555-7634,2303 Oak Ave,philadelphia,California,nan,48,2668.79,444,paypal,,,female,premium,2022-10-02,suspended
171,John Smith,customer171@example.com,(555) 963-1271,4991 Pine Rd,new_york,NY,84420.0,28,807.49,649,debit_card,,,,new,2022-04-09,inactive
172,Charlie Brown,customer172@example.com,(555) 453-3558,9648 First St,chicago,TX,16233.0,4,4002.29,71,cash,56.0,1987-08-21,,vip,2023-10-17,unknown
173,diana.prince,customer173@example.com,555-1300,3358 Second Ave,chicago,AZ,nan,41,4352.84,77,credit_card,32.0,1962-12-15,,vip,NaT,active
174,diana.prince,customer174@example.com,,288 Oak Ave,philadelphia,AZ,nan,39,887.67,330,cash,,1970-04-11,male,vip,2023-04-12,active
175,Grace Lee,customer175@example.com,555-4670,556 First St,Chicago,California,nan,19,2633.66,945,paypal,37.0,,m,regular,2022-07-20,inactive
176,diana.prince,customer176@example.com,555-2210,3518 Second Ave,Chicago,AZ,11618.0,17,958.99,732,cash,66.0,1962-01-08,male,regular,2022-02-27,unknown
177,henry.davis123,customer177@example.com,555-4365,5311 Oak Ave,Phoenix,California,96788.0,3,87.82,976,credit_card,26.0,1991-07-14,male,general,2022-01-23,inactive
178,Bob Wilson,customer178@example.com,,2510 First St,Houston,CA,83795.0,16,4204.3,795,debit_card,,1970-08-16,male,vip,2022-01-11,inactive
179,John Smith,customer179@example.com,(555) 858-7378,3720 Second Ave,chicago,PA,72543.0,18,2493.45,718,cash,66.0,,male,vip,2023-10-13,active
180,diana.prince,customer180@example.com,(555) 247-7153,5570 First St,New York,IL,38697.0,26,3144.27,419,debit_card,,,,regular,2021-01-13,unknown
181,Charlie Brown,customer181@example.com,(555) 638-1850,8942 Second Ave,la,NY,60250.0,33,2931.18,463,paypal,56.0,,,regular,2022-01-08,active
182,EVE WHITE,user182@domain.com,(555) 602-1448,3417 Pine Rd,philadelphia,New York,41571.0,33,4927.92,549,credit_card,,1995-02-15,male,general,2021-06-05,unknown
183,alice.johnson@email.com,customer183@example.com,(555) 275-7658,276 Main St,Phoenix,CA,81289.0,18,922.4,128,credit_card,32.0,,,new,2023-02-25,unknown
184,henry.davis123,customer184@example.com,(555) 846-7334,7323 Main St,NYC,California,97748.0,35,2423.06,369,debit_card,,1994-10-13,,regular,2022-01-13,inactive
185,John Smith,customer185@example.com,555-3346,2389 Oak Ave,Los Angeles,NY,43692.0,45,2148.89,537,cash,71.0,,,general,2020-06-13,suspended
186,Charlie Brown,customer186@example.com,,5159 First St,Los Angeles,New York,34469.0,48,3108.44,441,credit_card,,1996-05-26,f,premium,2020-08-23,inactive
187,alice.johnson@email.com,customer187@example.com,(555) 601-7309,4418 Oak Ave,Los Angeles,NY,51063.0,16,4536.14,349,debit_card,48.0,,female,new,2022-03-13,inactive
188,alice.johnson@email.com,user188@domain.com,,3156 First St,NYC,IL,78740.0,11,4597.1,267,paypal,,,male,new,2023-04-04,
189,Charlie Brown,customer189@example.com,555-9634,9280 Oak Ave,la,TX,44432.0,3,4334.61,717,cash,54.0,,other,new,2022-04-18,active
190,Grace Lee,customer190@example.com,555-6039,2507 Main St,la,CA,94669.0,17,2262.79,163,debit_card,24.0,,other,general,NaT,suspended
191,Bob Wilson,customer191@example.com,555-4636,5425 Pine Rd,chicago,CA,nan,44,1173.67,495,cash,26.0,,,vip,2022-02-01,unknown
192,diana.prince,customer192@example.com,,9623 Pine Rd,Phoenix,TX,18994.0,32,1255.41,751,debit_card,71.0,1965-10-18,male,vip,NaT,active
193,alice.johnson@email.com,customer193@example.com,(555) 464-8793,6234 Oak Ave,Chicago,TX,71500.0,17,194.39,621,cash,26.0,,m,general,2023-03-10,active
194,alice.johnson@email.com,customer194@example.com,(555) 486-5388,1585 Main St,Phoenix,IL,17611.0,27,142.15,857,credit_card,70.0,,male,general,NaT,pending
195,John Smith,customer195@example.com,555-3880,7640 Pine Rd,la,IL,nan,15,2054.48,402,cash,,,male,premium,2023-02-01,inactive
196,Bob Wilson,customer196@example.com,,4604 Main St,Los Angeles,California,60087.0,22,1752.04,90,paypal,38.0,,male,premium,2020-12-27,suspended
197,Bob Wilson,customer197@example.com,(555) 735-8071,6995 Main St,Houston,CA,nan,36,2496.67,777,cash,53.0,,other,new,NaT,
198,Grace Lee,user198@domain.com,555-9586,8358 Pine Rd,Los Angeles,PA,70615.0,2,1170.5,934,cash,,1992-05-09,f,new,NaT,pending
199,henry.davis123,customer199@example.com,(555) 206-3096,8921 First St,new_york,AZ,38431.0,17,3645.85,330,cash,31.0,,male,regular,2020-01-08,inactive
